Target	Regulator	Condition	Weight
MYL2	ACTA1	Diff Co-Exp between both Condition	0.11111111111111116
ACTN2	ACTA1	Diff Co-Exp between both Condition	0.11111111111111116
CKM	ACTA1	Diff Co-Exp between both Condition	0.2222222222222222
MYL1	ACTA1	Diff Co-Exp between both Condition	0.0
MYH2	ACTA1	Diff Co-Exp between both Condition	0.2222222222222222
ATP2A1	ACTA1	Diff Co-Exp between both Condition	0.22222222222222227
KBTBD10	ACTA1	Diff Co-Exp between both Condition	0.2222222222222222
NRAP	ACTA1	Diff Co-Exp between both Condition	0.2222222222222222
NEB	ACTA1	Diff Co-Exp between both Condition	0.11111111111111116
ACTN2	MYL2	Diff Co-Exp between both Condition	0.2222222222222222
CKM	MYL2	Diff Co-Exp between both Condition	0.33333333333333337
MYL1	MYL2	Diff Co-Exp between both Condition	0.5555555555555556
MYH2	MYL2	Diff Co-Exp between both Condition	0.8888888888888888
ATP2A1	MYL2	Diff Co-Exp between both Condition	0.11111111111111116
KBTBD10	MYL2	Diff Co-Exp between both Condition	0.2222222222222222
NRAP	MYL2	Diff Co-Exp between both Condition	0.3333333333333333
NEB	MYL2	Diff Co-Exp between both Condition	0.4444444444444444
CKM	ACTN2	Diff Co-Exp between both Condition	0.2222222222222222
MYL1	ACTN2	Diff Co-Exp between both Condition	0.0
MYH2	ACTN2	Diff Co-Exp between both Condition	0.11111111111111116
ATP2A1	ACTN2	Diff Co-Exp between both Condition	0.2222222222222222
KBTBD10	ACTN2	Diff Co-Exp between both Condition	0.2222222222222222
NRAP	ACTN2	Diff Co-Exp between both Condition	0.2222222222222222
NEB	ACTN2	Diff Co-Exp between both Condition	0.2222222222222222
MYL1	CKM	Diff Co-Exp between both Condition	0.2222222222222222
MYH2	CKM	Diff Co-Exp between both Condition	0.4444444444444444
ATP2A1	CKM	Diff Co-Exp between both Condition	0.11111111111111116
KBTBD10	CKM	Diff Co-Exp between both Condition	0.3333333333333333
NRAP	CKM	Diff Co-Exp between both Condition	0.3333333333333333
NEB	CKM	Diff Co-Exp between both Condition	0.33333333333333337
MYH2	MYL1	Diff Co-Exp between both Condition	0.5555555555555556
ATP2A1	MYL1	Diff Co-Exp between both Condition	0.0
KBTBD10	MYL1	Diff Co-Exp between both Condition	0.0
NRAP	MYL1	Diff Co-Exp between both Condition	0.5555555555555556
NEB	MYL1	Diff Co-Exp between both Condition	0.0
ATP2A1	MYH2	Diff Co-Exp between both Condition	0.2222222222222222
KBTBD10	MYH2	Diff Co-Exp between both Condition	0.33333333333333326
NRAP	MYH2	Diff Co-Exp between both Condition	0.5555555555555556
NEB	MYH2	Diff Co-Exp between both Condition	0.22222222222222227
KBTBD10	ATP2A1	Diff Co-Exp between both Condition	0.33333333333333337
NRAP	ATP2A1	Diff Co-Exp between both Condition	0.2222222222222222
NEB	ATP2A1	Diff Co-Exp between both Condition	0.22222222222222227
NRAP	KBTBD10	Diff Co-Exp between both Condition	0.33333333333333337
NEB	KBTBD10	Diff Co-Exp between both Condition	0.2222222222222222
NEB	NRAP	Diff Co-Exp between both Condition	0.33333333333333326
